model,strategy,method,feature,importance,rank
Logistic Regression,SMOTE,Coefficient,age,1.0,1
Logistic Regression,SMOTE,Coefficient,waist_circumference,0.26525767131279093,2
Logistic Regression,SMOTE,Coefficient,hdl_cholesterol_mg_dl,0.14695281394193765,3
Logistic Regression,SMOTE,Coefficient,triglycerides_mg_dl,0.07704354251435969,4
Logistic Regression,SMOTE,Coefficient,total_sugar_g,0.06843598509726306,5
Logistic Regression,SMOTE,Coefficient,mean_systolic_bp,0.03483645822665289,6
Logistic Regression,SMOTE,Coefficient,race_ethnicity_6.0,0.032015158595865956,7
Logistic Regression,SMOTE,Coefficient,average_alcoholic_drinks_per_day,0.027228288775305705,8
Logistic Regression,SMOTE,Coefficient,income_poverty_ratio,0.026374027377609993,9
Logistic Regression,SMOTE,Coefficient,race_ethnicity_4.0,0.02543580788346277,10
Logistic Regression,SMOTE,Coefficient,race_ethnicity_3.0,0.020834051334678652,11
Logistic Regression,SMOTE,Coefficient,bmi,0.019517845639439514,12
Logistic Regression,SMOTE,Coefficient,total_cholesterol_mg_dl,0.015722114779316468,13
Logistic Regression,SMOTE,Coefficient,education_level_3.0,0.013411414596055675,14
Logistic Regression,SMOTE,Coefficient,fiber_g,0.013028255289936874,15
Logistic Regression,SMOTE,Coefficient,vigorous_recreational_activity,0.009845817002808007,16
Logistic Regression,SMOTE,Coefficient,carbohydrate_g,0.009637145131112142,17
Logistic Regression,SMOTE,Coefficient,energy_kcal,0.008608396298992913,18
Logistic Regression,SMOTE,Coefficient,moderate_work_activity,0.007936381993260458,19
Logistic Regression,SMOTE,Coefficient,ldl_cholesterol_mg_dl,0.007673672146080234,20
Logistic Regression,SMOTE,Coefficient,mean_diastolic_bp,0.007442769904133357,21
Logistic Regression,SMOTE,Coefficient,education_level_4.0,0.005283278182674296,22
Logistic Regression,SMOTE,Coefficient,walk_or_bicycle_transport,0.004579526178533039,23
Logistic Regression,SMOTE,Coefficient,moderate_recreational_activity,0.004428876971328849,24
Logistic Regression,SMOTE,Coefficient,sex_2.0,0.0036739531715154305,25
Logistic Regression,SMOTE,Coefficient,alcohol_info_missing,0.0036570357199404227,26
Logistic Regression,SMOTE,Coefficient,cholesterol_mg,0.003285411039895536,27
Logistic Regression,SMOTE,Coefficient,race_ethnicity_2.0,0.0021097879691055125,28
Logistic Regression,SMOTE,Coefficient,education_level_5.0,0.0017897545256805344,29
Logistic Regression,SMOTE,Coefficient,race_ethnicity_7.0,0.0015141119159331016,30
Logistic Regression,SMOTE,Coefficient,education_level_2.0,0.0014910426637858543,31
Logistic Regression,SMOTE,Coefficient,ever_smoked_100_cigarettes,0.0012922975611954941,32
Logistic Regression,SMOTE,Coefficient,vigorous_work_activity,0.0012719546752110345,33
Logistic Regression,SMOTE,Coefficient,protein_g,0.0008977434426522558,34
Logistic Regression,SMOTE,Coefficient,sleep_hours,0.0007029131222448933,35
Logistic Regression,SMOTE,Coefficient,total_fat_g,0.0002548802828150004,36
